policy_id,user_id,policy_type,policy_status,issue_date,expiry_date,premium_amount,coverage_amount,Markdown Formatt
POL3000,USR1000,Travel,Expired,03-06-2024 00:00,12-12-2025 00:00,43272.26,1953131.02,"## For Travel Insurance
- **Travel Region:** International
- **Trip Duration:** 14 days
- **Coverage Type:** Individual
- **Baggage Loss Cover:** Yes
- **Flight Delay Cover:** Yes
- **Medical Emergency Cover:** Yes
"
POL3001,USR1000,Health,Pending,20-06-2015 00:00,04-09-2025 00:00,36066.71,1559071.63,"## For Health Insurance
- **Coverage Limit:** ₹10,00,000
- **Hospital Network:** Network B
- **Cashless Available:** Yes
- **Waiting Period:** 2 months
- **Includes Maternity:** No
- **Critical Illness Cover:** Yes
- **Deductibles:** ₹10,000
"
POL3003,USR1001,Pet,Under Review,07-03-2019 00:00,26-05-2027 00:00,23383.59,753213.19,"## For Pet Insurance
- **Pet Type:** Dog
- **Breed:** Golden Retriever
- **Pet Age:** 5 years
- **Vet Visits Covered:** Yes
- **Accident/Illness Cover:** Yes
- **Vaccination Coverage:** Yes
"
POL3006,USR1002,Pet,Pending,31-07-2018 00:00,06-09-2026 00:00,15894.13,1537314.27,"## For Pet Insurance
- **Pet Type:** Dog
- **Breed:** Golden Retriever
- **Pet Age:** 5 years
- **Vet Visits Covered:** Yes
- **Accident/Illness Cover:** Yes
- **Vaccination Coverage:** Yes
"
POL3009,USR1003,Pet,Cancelled,09-01-2023 00:00,11-06-2024 00:00,31110.68,127919.1,"## For Pet Insurance
- **Pet Type:** Dog
- **Breed:** Golden Retriever
- **Pet Age:** 5 years
- **Vet Visits Covered:** Yes
- **Accident/Illness Cover:** Yes
- **Vaccination Coverage:** Yes
"
POL3010,USR1003,Life,Pending,13-10-2016 00:00,19-07-2026 00:00,47493.62,1961307.77,"## For Life Insurance
- **Policy Term (Years):** 20
- **Sum Assured:** ₹25,00,000
- **Payment Term:** Yearly
- **Nominee Name:** John Doe
- **Medical Exam Required:** Yes
- **Smoker Status:** Non-Smoker
"
POL3011,USR1003,Travel,Under Review,16-01-2023 00:00,20-06-2025 00:00,48646.55,1843472.73,"## For Travel Insurance
- **Travel Region:** International
- **Trip Duration:** 14 days
- **Coverage Type:** Individual
- **Baggage Loss Cover:** Yes
- **Flight Delay Cover:** Yes
- **Medical Emergency Cover:** Yes
"
POL3012,USR1004,Travel,Active,11-04-2018 00:00,13-02-2025 00:00,43545.76,604228.31,"## For Travel Insurance
- **Travel Region:** International
- **Trip Duration:** 14 days
- **Coverage Type:** Individual
- **Baggage Loss Cover:** Yes
- **Flight Delay Cover:** Yes
- **Medical Emergency Cover:** Yes
"
POL3013,USR1004,Health,Active,27-06-2019 00:00,23-05-2026 00:00,13422.84,989531.61,"## For Health Insurance
- **Coverage Limit:** ₹10,00,000
- **Hospital Network:** Network B
- **Cashless Available:** Yes
- **Waiting Period:** 2 months
- **Includes Maternity:** No
- **Critical Illness Cover:** Yes
- **Deductibles:** ₹10,000
"
POL3014,USR1004,Home,Active,08-01-2019 00:00,12-03-2027 00:00,49077.4,264942.88,"## For Home Insurance
- **Property Type:** Apartment
- **Property Value:** ₹50,00,000
- **Year Built:** 2015
- **Natural Disaster Cover:** Yes
- **Theft Cover:** Yes
- **Structure & Contents:** Combined
"
POL3015,USR1005,Home,Active,24-01-2019 00:00,20-05-2025 00:00,38735.08,999207.3,"## For Home Insurance
- **Property Type:** Apartment
- **Property Value:** ₹50,00,000
- **Year Built:** 2015
- **Natural Disaster Cover:** Yes
- **Theft Cover:** Yes
- **Structure & Contents:** Combined
"
POL3016,USR1005,Travel,Expired,06-11-2022 00:00,23-01-2027 00:00,30077.29,1344575.61,"## For Travel Insurance
- **Travel Region:** International
- **Trip Duration:** 14 days
- **Coverage Type:** Individual
- **Baggage Loss Cover:** Yes
- **Flight Delay Cover:** Yes
- **Medical Emergency Cover:** Yes
"
POL3018,USR1006,Travel,Active,25-12-2020 00:00,26-01-2025 00:00,37247.24,1861650.92,"## For Travel Insurance
- **Travel Region:** International
- **Trip Duration:** 14 days
- **Coverage Type:** Individual
- **Baggage Loss Cover:** Yes
- **Flight Delay Cover:** Yes
- **Medical Emergency Cover:** Yes
"
