FAQ_ID,Question,Answer,Category,Priority,Keywords
72849163,What does my auto insurance policy cover?,Your auto insurance includes collision, liability, and comprehensive coverage. Call (555) 123-4567 for a detailed breakdown.,Auto Insurance,High,vehicle, collision, deductible
49281754,Are medical expenses included in my plan?,Health plans cover hospital stays and doctor visits. Dial 1-800-555-6789 for specifics.,Health Insurance,Medium,medical, hospital, ER
18374652,Does my home insurance protect against floods?,Standard policies exclude floods. Contact (555) 987-6543 for add-on options.,Home Insurance,High,flood, natural disaster, water
64738291,How do I file a claim after an accident?,Submit claims online or call +1-555-234-5678 within 24 hours of the incident.,Claims,Medium,accident, report, deadline
83927461,What's the process to cancel my policy?,Cancellation requires 30 days' notice. Reach us at 555-876-5432 ext. 123.,Policy Changes,Low,cancel, terminate, fee
37482910,Are rental cars covered under my plan?,Rental coverage is optional. Confirm at (555) 345-6789 before renting.,Auto Insurance,Medium,rental, temporary, car
92847563,Does life insurance pay for chronic illness?,Some policies include accelerated benefits. Call 1-555-789-0123 to check.,Life Insurance,High,illness, terminal, payout
28374659,What's excluded from my travel insurance?,Pre-existing conditions often aren't covered. Verify at +1-555-456-7890.,Travel Insurance,Low,exclusion, waiver, pre-existing
74638291,How are premiums calculated?,Factors include age, location, and claims history. Call (555) 567-8901 for a quote.,Billing,Medium,premium, cost, rate
39482756,Can I add a driver to my policy?,Additional drivers require approval. Contact 555-678-9012 with their details.,Auto Insurance,Low,driver, add, teen
58273914,Does my pet insurance cover dental cleanings?,Routine dental care is excluded, but injuries are covered. Call (712) 555-0198 for exceptions.,Pet Insurance,Medium,"pet dental, cleaning, exclusions"
36194728,How quickly are life insurance claims processed?,Most claims are paid within 10 business days. Contact +1-712-555-3267 for urgent cases.,Life Insurance,High,"payout, beneficiary, processing"
47582036,What happens if I miss a premium payment?,Late payments incur a fee, and coverage may lapse. Call (712) 555-4482 to reinstate.,Billing,High,"late fee, grace period, reinstatement"
92847501,Are home business equipment covered under homeowners insurance?,Only limited coverage applies. Call +1-712-555-7755 for business rider options.,Home Insurance,Medium,"business equipment, rider, home office"
64739285,Can I transfer my auto policy to another state?,Yes, but rates may change. Dial (712) 555-6623 for state-specific adjustments.,Auto Insurance,Low,"transfer, relocation, state laws"
38475629,Does travel insurance cover trip cancellations due to illness?,Only with a doctor's note. Verify at +1-712-555-8899 before canceling.,Travel Insurance,High,"trip cancellation, doctor note, refund"
29384756,What’s the maximum coverage for jewelry under my policy?,Typically $1,500 per item. Call (712) 555-1122 to schedule an appraisal.,Personal Property,Medium,"jewelry, appraisal, limits"
75849302,How do I add roadside assistance to my auto policy?,Add it online or call +1-712-555-2233 for immediate coverage.,Auto Insurance,Low,"roadside, towing, emergency"
48572639,Are mold damages covered under homeowners insurance?,Only if caused by a covered peril. Call (712) 555-3344 for inspection details.,Home Insurance,High,"mold, water damage, inspection"
